,,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Drawing,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
UB406x178x60,dxf,406,178,7.9,12.8,13,60.5,1.487,7701,3610,4554,217.7,168.1,1071,1209,12.03,39.5,135.3,209.4,348,44.05,466000,26620,2733.86,739.9,933.43,380.29,429.07,48.03,74.35,a,b,1,4,1
UB406x178x67,dxf,409,179,8.8,14.3,13,67.5,1.495,8603,4021,5114,245,168.8,1197,1355,13.65,39.8,152.7,237,479,54.43,533000,30180,3054.13,824.19,1048.1,424.92,481.09,54.22,84.12,a,b,1,4,1
UB406x178x74,dxf,413,180,9.5,16,13,74.6,1.503,9500,4341,5744,274.8,170.1,1331,1510,15.46,40.3,172.2,267.4,649,68.32,608000,34150,3372.52,889.75,1177.29,472.66,536.04,61.15,94.93,a,b,1,4,1
UB406x178x85,dxf,417,182,10.9,18.2,13,85.6,1.518,10910,4981,6621,318.7,170.9,1528,1742,18.31,41,201.3,313.6,957,87.8,729000,40180,3873.17,1020.87,1357.07,542.43,618.42,71.46,111.31,a,b,1,3,1
UB457x152x52,dxf,450,152,7.6,10.9,13,52.7,1.472,6714,3903,3322,215.9,179.3,959.8,1106,6.453,31,84.68,133.7,226,29.74,311000,18600,2383.32,800.03,680.94,340.73,392.76,30.06,47.46,a,b,1,4,1
UB457x152x60,dxf,455,153,8.1,13.3,13,60.2,1.483,7672,4160,4067,257.2,183.1,1131,1298,7.95,32.2,104,163.4,354,43.7,387000,22940,2723.7,852.66,833.6,401.65,460.65,36.92,58.02,a,b,1,4,1
UB457x152x67,dxf,458,154,9,15,13,67.5,1.491,8604,4622,4614,291.4,184,1273,1463,9.129,32.6,118.7,187.1,496,55.11,448000,26300,3054.58,947.4,945.68,451.79,519.51,42.14,66.42,a,b,1,4,1
UB457x152x74,dxf,462,154,9.6,17,13,74.6,1.501,9497,4931,5250,328.9,186.1,1424,1637,10.47,33.2,135.6,213.6,682,71.04,518000,30160,3371.38,1010.56,1075.95,505.47,581.1,48.14,75.81,a,b,1,4,1
UB457x152x82,dxf,466,155,10.5,18.9,13,82.4,1.51,10503,5393,5870,368.1,187.2,1580,1822,11.85,33.6,152.6,240.8,920,87.62,592000,34120,3728.49,1105.3,1203.18,561.01,646.75,54.17,85.5,a,b,1,4,1
UB457x191x67,dxf,453,190,8.5,12.7,13,67.5,1.628,8600,4366,4823,296,185.5,1306,1481,14.52,41.1,153,237.7,387,45.53,705000,33700,3052.97,894.77,988.61,463.48,525.88,54.31,84.39,a,b,1,4,1
