"Eurocode 3 (in accordance with the UK National Annex) (BS EN 1993-1-1: 2005+A1: 2014, BS EN 10365: 2017)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Universal columns (UC), Axial compression with S355",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section designation,,,,"Compression resistance Nb,y,Rd, Nb,z,Rd, Nb,T,Rd (kN) for buckling lengths (m)",,,,,,,,,,,,,,,,
254 x 254,x 167,,"Nb,y,Rd",7350,7350,7300,7160,7020,6860,6700,6360,5960,5510,5010,4500,4000,3540,3130,2780,2470
,,,"Nb,z,Rd",7350,7030,6680,6300,5910,5490,5060,4200,3420,2780,2270,1880,1580,1340,1150,1000,875
,,,"Nb,T,Rd",7350,7120,6900,6740,6610,6510,6440,6340,6280,6230,6200,6180,6170,6160,6150,6140,6140
254 x 254,x 132,,"Nb,y,Rd",5800,5800,5750,5630,5520,5390,5260,4980,4650,4280,3870,3460,3060,2700,2380,2100,1870
,,,"Nb,z,Rd",5800,5530,5240,4940,4620,4290,3940,3250,2640,2140,1740,1440,1210,1030,881,764,668
,,,"Nb,T,Rd",5800,5570,5370,5200,5070,4960,4880,4760,4670,4620,4580,4550,4530,4510,4500,4490,4480
254 x 254,x 107,,"Nb,y,Rd",4690,4690,4640,4550,4450,4350,4240,4000,3720,3400,3060,2720,2400,2100,1850,1630,1450
,,,"Nb,z,Rd",4690,4470,4230,3980,3720,3440,3160,2590,2090,1690,1380,1140,955,810,694,602,526
,,,"Nb,T,Rd",4690,4480,4300,4140,4000,3890,3790,3650,3550,3480,3420,3390,3360,3340,3320,3310,3300
254 x 254,x 89,,"Nb,y,Rd",3900,3900,3860,3780,3690,3600,3510,3310,3070,2810,2520,2240,1970,1730,1520,1340,1180
,,,"Nb,z,Rd",3900,3710,3510,3300,3080,2850,2610,2140,1720,1390,1140,938,785,665,571,494,432
,,,"Nb,T,Rd",3890,3710,3540,3390,3250,3140,3030,2870,2760,2670,2610,2560,2530,2500,2480,2460,2450
254 x 254,x 73,,"Nb,y,Rd",3300,3300,3260,3190,3120,3040,2960,2780,2580,2340,2090,1850,1620,1420,1240,1090,966
,,,"Nb,z,Rd",3300,3130,2960,2780,2580,2380,2170,1760,1420,1140,925,762,637,540,463,401,350
,,,"Nb,T,Rd",3280,3120,2960,2820,2680,2550,2440,2260,2120,2020,1940,1890,1840,1810,1780,1760,1750
203 x 203,x 127,+,"Nb,y,Rd",5590,5590,5460,5320,5180,5030,4870,4500,4070,3600,3130,2700,2320,2010,1740,1520,1340
,,,"Nb,z,Rd",5490,5160,4810,4430,4040,3630,3220,2500,1940,1520,1220,998,829,699,597,516,450
,,,"Nb,T,Rd",5540,5340,5210,5120,5060,5020,4980,4940,4920,4910,4900,4890,4880,4880,4880,4880,4880
203 x 203,x 113,+,"Nb,y,Rd",5000,5000,4880,4760,4620,4490,4340,4000,3600,3170,2750,2360,2030,1750,1520,1320,1160
,,,"Nb,z,Rd",4910,4610,4290,3950,3590,3220,2860,2210,1710,1340,1080,879,730,616,526,454,396
,,,"Nb,T,Rd",4940,4750,4610,4520,4450,4400,4370,4320,4290,4280,4270,4260,4250,4250,4240,4240,4240
203 x 203,x 100,+,"Nb,y,Rd",4380,4370,4270,4160,4040,3920,3780,3470,3120,2740,2360,2020,1740,1490,1290,1130,992
,,,"Nb,z,Rd",4290,4030,3740,3440,3130,2800,2480,1910,1470,1160,926,755,627,528,451,389,339
,,,"Nb,T,Rd",4310,4130,3990,3890,3820,3770,3730,3680,3650,3620,3610,3600,3600,3590,3580,3580,3580
203 x 203,x 86,,"Nb,y,Rd",3800,3780,3690,3590,3490,3380,3260,2980,2670,2330,2000,1710,1460,1260,1090,950,834
,,,"Nb,z,Rd",3720,3480,3230,2970,2690,2400,2120,1630,1260,986,789,644,534,450,384,332,289
,,,"Nb,T,Rd",3720,3550,3410,3310,3230,3170,3120,3060,3020,3000,2980,2970,2960,2950,2950,2940,2940
203 x 203,x 71,,"Nb,y,Rd",3120,3110,3030,2950,2860,2770,2670,2440,2180,1890,1620,1380,1180,1020,879,766,672
,,,"Nb,z,Rd",3050,2860,2650,2430,2200,1960,1730,1330,1020,801,640,522,433,365,311,269,234
,,,"Nb,T,Rd",3050,2890,2760,2650,2570,2500,2450,2370,2330,2300,2270,2260,2240,2240,2230,2220,2220
203 x 203,x 60,,"Nb,y,Rd",2710,2690,2620,2550,2470,2380,2290,2080,1830,1580,1340,1140,968,829,716,623,546
,,,"Nb,z,Rd",2640,2470,2280,2080,1870,1660,1450,1100,844,659,526,428,355,299,255,220,191
,,,"Nb,T,Rd",2640,2480,2350,2240,2140,2070,2000,1910,1850,1810,1780,1760,1740,1730,1720,1720,1710
203 x 203,x 52,,"Nb,y,Rd",2350,2340,2280,2210,2140,2070,1980,1800,1580,1360,1160,980,833,713,615,535,469
,,,"Nb,z,Rd",2290,2140,1980,1800,1620,1430,1260,952,728,568,453,369,306,257,219,189,165
,,,"Nb,T,Rd",2280,2140,2020,1910,1810,1730,1670,1560,1500,1450,1420,1390,1370,1360,1350,1340,1330
203 x 203,x 46,,"Nb,y,Rd",2080,2070,2010,1950,1890,1820,1750,1580,1390,1190,1010,855,726,620,535,465,408
,,,"Nb,z,Rd",2020,1890,1740,1590,1420,1260,1100,832,635,495,395,321,266,224,191,165,143
,,,"Nb,T,Rd",2020,1890,1770,1670,1570,1490,1420,1310,1240,1180,1150,1120,1100,1090,1080,1070,1060
152 x 152,x 51,+,"Nb,y,Rd",2320,2250,2170,2080,1980,1880,1760,1490,1220,986,803,661,551,466,398,344,300
,,,"Nb,z,Rd",2160,1960,1730,1490,1260,1050,879,625,461,352,277,224,184,154,131,113,97.7
,,,"Nb,T,Rd",2200,2080,2000,1950,1910,1880,1860,1840,1830,1820,1810,1810,1800,1800,1800,1800,1800
152 x 152,x 44,+,"Nb,y,Rd",1990,1930,1860,1790,1700,1600,1500,1260,1030,831,675,555,463,391,334,288,251
,,,"Nb,z,Rd",1860,1680,1480,1280,1070,894,745,529,390,297,234,189,155,130,110,95.0,82.5
,,,"Nb,T,Rd",1880,1770,1680,1620,1580,1550,1530,1500,1480,1470,1470,1460,1460,1450,1450,1450,1450
152 x 152,x 37,,"Nb,y,Rd",1670,1620,1560,1500,1420,1340,1250,1050,849,684,555,456,380,320,274,236,206
,,,"Nb,z,Rd",1550,1400,1240,1060,889,738,614,435,320,244,192,155,127,107,90.5,77.8,67.6
,,,"Nb,T,Rd",1570,1460,1380,1310,1270,1230,1200,1170,1150,1130,1120,1120,1110,1110,1100,1100,1100
152 x 152,x 30,,"Nb,y,Rd",1360,1320,1270,1210,1150,1080,1010,839,679,545,442,362,302,254,217,188,163
,,,"Nb,z,Rd",1260,1140,999,854,714,592,492,347,256,195,153,123,102,85.0,72.2,62.0,53.9
,,,"Nb,T,Rd",1260,1170,1080,1020,964,923,891,848,820,803,790,782,775,771,767,764,762
152 x 152,x 23,,"Nb,y,Rd",1040,999,960,916,867,812,751,618,495,395,319,261,217,183,156,134,117
,,,"Nb,z,Rd",955,856,746,632,524,431,356,250,183,140,110,88.3,72.6,60.7,51.6,44.3,38.5
,,,"Nb,T,Rd",956,872,794,726,669,624,589,540,509,489,475,465,458,452,448,445,442
,,,,,,,,,,,,,,,,,,,,
+ These sections are in addition to the range of BS EN 10365 sections,,,,,,,,,,,,,,,,,,,,
∗ The section may be Class 4 under axial compression,,,,,,,,,,,,,,,,,,,,
Values in italic type indicate that the section is a Class 4 section in pure compression and allowance has been made in calculating the resistance,,,,,,,,,,,,,,,,,,,,
"For values of the compression cross-sectional resistance, Nc,Rd, see values of Npl,Rd in tables for axial force and bending",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This data was downloaded from the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/uc/ec3-ukna/compression-s355/) on 19/05/2024 at 20:05:30 ,,,,,,,,,,,,,,,,,,,,
"© 2024, SCI. This data is subject to the same terms as defined by the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/about/)",,,,,,,,,,,,,,,,,,,,
